tipo_entidad,institucion,pais,sector,lat,lon
Empresa,Siemens Medical Solutions,Germany,Industrial,51.165691,10.451526
Empresa,"Tiani ""Spirit"" GmbH",Germany,TIC,51.165691,10.451526
Universidad,"Academisch Ziekenhuis Leiden-LUMC, Universitaet Zuerich",Germany,Otros,51.165691,10.451526
Universidad,Charite Universitatsmedizin Berlin,Germany,Medical Devices,51.165691,10.451526
Universidad,Charité Universitatsmedizin Berlin,Germany,Otros,51.165691,10.451526
Universidad,Charité Universitätsmedizin Berlin,Germany,Otros,51.165691,10.451526
Universidad,Eberhard Karls Universitaet Tuebingen,Germany,Otros,51.165691,10.451526
Universidad,Eberhard Karls Universitaet Tuebingen,Germany,TIC,51.165691,10.451526
Universidad,Georg-August University Goettingen Ukg-Goe,Germany,Otros,51.165691,10.451526
Universidad,Heinrich-Heine-Universität Düsseldorf,Germany,Otros,51.165691,10.451526
Universidad,Heinrich-Heine-Universität Düsseldorf,Germany,Otros,51.165691,10.451526
Universidad,"Institut für Prophylaxe und Epidemiologie der Kreislaufkrankheiten-LMU, München",Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Universidad,"Institute of Pathology, University Medical Center,
Johannes Gutenberg University",Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Universidad,Johannes Gutenberg-Universität Mainz,Germany,Otros,51.165691,10.451526
Universidad,Klinik Berlin – Freie Universität,Germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Universidad,Klinikum Der Universität zu Köln,Germany,Otros,51.165691,10.451526
Universidad,Ludwig-Maximilians-Universitaet Muenchen,Germany,Otros,51.165691,10.451526
Universidad,Ludwig-Maximilians-Universitaet Muenchen,germany,Biotech (Diagnóstico y equipos médicos),51.165691,10.451526
Universidad,Medizinische Universitaet Wien Muw,Germany,Otros,51.165691,10.451526
Universidad,Paul-Ehrlich Institut,Germany,Otros,51.165691,10.451526
Universidad,Saarland University Usaar-Med,Germany,Otros,51.165691,10.451526
Universidad,"Technology and Medicine Imperial, Universitätsklinikum Erlangen",Germany,Otros,51.165691,10.451526
Universidad,Tierärztliche Hochschule Hannover (Tiho) Academic,Germany,Otros,51.165691,10.451526
Universidad,Uneversity of Zurich,Germany,Otros,51.165691,10.451526
Universidad,Universidad de Dresde,Germany,Medical Devices,51.165691,10.451526
Universidad,Universidad de Göttingen,Germany,Otros,51.165691,10.451526
Universidad,Universidad de Leipzig,Germany,Otros,51.165691,10.451526
Universidad,Universidad de Leipzig - Klinik und Poliklinik für Psychiatrie,Germany,Otros,51.165691,10.451526
Universidad,Universitaet des Saarlandes,Germany,Otros,51.165691,10.451526
Universidad,Universitaet Tuebingen ,Germany,Farma,51.165691,10.451526
Universidad,Universitaet Ulm,Germany,Otros,51.165691,10.451526
Universidad,Universitaet zu Kiel,Germany,Otros,51.165691,10.451526
Universidad,Universitaetsklinikum Bonn Ukb ,Germany,Otros,51.165691,10.451526
Universidad,Universitaetsklinikum Essen,Germany,Otros,51.165691,10.451526
Universidad,Universitätsklinikum Erlangen,Germany,Otros,51.165691,10.451526
Universidad,Universitätsklinikum Erlangen,Germany,Otros,51.165691,10.451526
Universidad,Universitätsklinikum Freiburg,Germany,Otros,51.165691,10.451526
Universidad,Universitätsklinikum Heidelberg (Ukl-Hd),Germany,Otros,51.165691,10.451526
Universidad,Universitatsmedizin der Johannes Gutenberg-Universita,Germany,Otros,51.165691,10.451526
Universidad,"University Hospitals, Friedrich-Schiller-University Jena",Germany,Otros,51.165691,10.451526
Universidad,University Medical Centre Groningen (Umcg) ,Germany,Otros,51.165691,10.451526
Universidad,University Medicine Berlin,Germany,Otros,51.165691,10.451526
Universidad,University Medicine Berlin- Charité,Germany,Otros,51.165691,10.451526
Universidad,University Medizin Gottingen,Germany,Otros,51.165691,10.451526
